,Day,Card,Sum
563,27,2406956,0.0
564,21,2406956,0.0
565,25,2406956,0.0
566,29,2406956,160.0
567,30,2406956,0.0
568,22,2406956,0.0
569,28,2406956,0.0
570,31,2406956,0.0
571,18,2406956,0.0
572,13,2406956,0.0
573,19,2406956,0.0
574,20,2406956,0.0
575,15,2406956,0.0
576,16,2406956,0.0
577,17,2406956,0.0
578,26,2406956,0.0
579,14,2406956,0.0
580,3,655018,2396.54
581,23,655018,335.42
582,24,655018,80.87
583,27,655018,675.8
584,21,655018,514.47
585,25,655018,494.39
586,29,655018,177.04
587,30,655018,0.0
588,22,655018,23.11
589,28,655018,116.44
590,31,655018,0.0
591,18,655018,20.35
592,13,655018,56.78
593,19,655018,0.0
594,20,655018,100.9
595,15,655018,48.15
596,16,655018,0.0
597,17,655018,39.52
598,26,655018,332.53
599,14,655018,14.38
600,3,1659237,145.5
601,23,1659237,0.0
602,24,1659237,0.49
603,27,1659237,0.0
604,21,1659237,0.0
605,25,1659237,0.0
606,29,1659237,21.29
607,30,1659237,0.0
608,22,1659237,0.0
609,28,1659237,0.0
610,31,1659237,0.0
611,18,1659237,0.0
612,13,1659237,0.0
613,19,1659237,0.0
614,20,1659237,0.0
615,15,1659237,0.0
616,16,1659237,0.0
617,17,1659237,0.0
618,26,1659237,0.0
619,14,1659237,1.78
620,3,2701432,981.92
621,23,2701432,0.0
622,24,2701432,2.88
623,27,2701432,6.35
624,21,2701432,0.0
625,25,2701432,0.0
626,29,2701432,467.85
627,30,2701432,80.5
628,22,2701432,0.0
629,28,2701432,0.0
630,31,2701432,0.0
631,18,2701432,0.0
632,13,2701432,0.0
633,19,2701432,0.0
634,20,2701432,0.0
635,15,2701432,0.0
636,16,2701432,0.0
637,17,2701432,0.0
638,26,2701432,0.0
639,14,2701432,0.0
640,3,2744289,13.23
641,23,2744289,95.58
642,24,2744289,26.66
643,27,2744289,0.0
644,21,2744289,0.0
645,25,2744289,0.0
646,29,2744289,0.0
647,30,2744289,0.0
648,22,2744289,0.0
649,28,2744289,0.0
650,31,2744289,0.0
651,18,2744289,0.0
652,13,2744289,0.0
653,19,2744289,0.0
654,20,2744289,0.0
655,15,2744289,0.0
656,16,2744289,1.14
657,17,2744289,0.0
658,26,2744289,0.0
659,14,2744289,0.0
660,3,3733963,604.16
661,23,3733963,2.24
662,24,3733963,152.84
663,27,3733963,0.0
664,21,3733963,0.0
665,25,3733963,0.0
666,29,3733963,0.0
667,30,3733963,0.0
668,22,3733963,0.0
669,28,3733963,0.0
670,31,3733963,0.0
671,18,3733963,0.0
672,13,3733963,16.95
673,19,3733963,38.51
674,20,3733963,19.05
675,15,3733963,5.47
676,16,3733963,0.0
677,17,3733963,604.38
678,26,3733963,0.0
679,14,3733963,0.0
680,3,2277446,301.77
681,23,2277446,3.64
682,24,2277446,0.0
683,27,2277446,0.0
684,21,2277446,113.67
685,25,2277446,93.0
686,29,2277446,0.0
687,30,2277446,0.0
688,22,2277446,5.44
689,28,2277446,5.31
690,31,2277446,0.0
691,18,2277446,11.44
692,13,2277446,0.0
693,19,2277446,0.0
694,20,2277446,0.0
695,15,2277446,0.0
696,16,2277446,0.0
697,17,2277446,0.0
698,26,2277446,0.0
699,14,2277446,602.0
700,3,476876,88.09
701,23,476876,0.0
702,24,476876,0.0
703,27,476876,1.56
704,21,476876,0.0
705,25,476876,9.37
706,29,476876,0.0
707,30,476876,0.0
708,22,476876,0.0
709,28,476876,16.06
710,31,476876,0.0
711,18,476876,0.0
712,13,476876,0.0
713,19,476876,0.0
714,20,476876,0.0
715,15,476876,0.0
716,16,476876,15.14
717,17,476876,100.0
718,26,476876,0.0
719,14,476876,0.0
720,3,198336,378.8
721,23,198336,9.21
722,24,198336,0.0
723,27,198336,113.92
724,21,198336,6.0
725,25,198336,1064.22
726,29,198336,46.18
727,30,198336,28.77
728,22,198336,0.0
729,28,198336,49.19
730,31,198336,0.0
731,18,198336,0.0
732,13,198336,528.06
733,19,198336,0.0
734,20,198336,43.24
735,15,198336,0.65
736,16,198336,50.97
737,17,198336,0.0
738,26,198336,0.0
739,14,198336,83.31
740,3,4535653,0.0
741,23,4535653,361.49
742,24,4535653,39.31
743,27,4535653,0.0
744,21,4535653,0.0
745,25,4535653,1.92
746,29,4535653,0.0
747,30,4535653,0.0
748,22,4535653,0.0
749,28,4535653,0.0
750,31,4535653,0.0
751,18,4535653,0.0
752,13,4535653,0.0
753,19,4535653,20.0
754,20,4535653,0.0
755,15,4535653,0.0
756,16,4535653,0.0
757,17,4535653,0.0
758,26,4535653,0.0
759,14,4535653,0.0
760,3,1349893,330.42
761,23,1349893,1.63
762,24,1349893,0.0
763,27,1349893,5.04
764,21,1349893,19.23
765,25,1349893,11.88
766,29,1349893,11.89
767,30,1349893,0.0
768,22,1349893,58.0
769,28,1349893,50.0
770,31,1349893,27.84
771,18,1349893,0.0
772,13,1349893,6.89
773,19,1349893,0.0
774,20,1349893,87.24
775,15,1349893,48.2
776,16,1349893,86.13
777,17,1349893,11.27
778,26,1349893,0.0
779,14,1349893,50.0
780,3,1637341,2276.69
781,23,1637341,404.1
782,24,1637341,0.0
783,27,1637341,29.78
784,21,1637341,88.29
785,25,1637341,0.0
786,29,1637341,0.0
787,30,1637341,0.0
788,22,1637341,12.45
789,28,1637341,15.55
790,31,1637341,0.0
791,18,1637341,0.0
792,13,1637341,990.5
793,19,1637341,0.0
794,20,1637341,38.99
795,15,1637341,158.62
796,16,1637341,31.5
797,17,1637341,8.92
798,26,1637341,0.0
799,14,1637341,548.05
800,3,983130,0.0
801,23,983130,1910.48
802,24,983130,10.08
803,27,983130,1130.0
804,21,983130,87.2
805,25,983130,0.0
806,29,983130,0.0
807,30,983130,0.0
808,22,983130,0.0
809,28,983130,0.0
810,31,983130,0.0
811,18,983130,210.0
812,13,983130,0.0
813,19,983130,0.0
814,20,983130,0.0
815,15,983130,0.0
816,16,983130,0.0
817,17,983130,0.0
818,26,983130,0.0
819,14,983130,0.0
820,3,2827342,39.93
821,23,2827342,14.69
822,24,2827342,0.0
823,27,2827342,117.59
824,21,2827342,0.0
825,25,2827342,0.0
826,29,2827342,0.0
827,30,2827342,3.3
828,22,2827342,0.0
829,28,2827342,22.2
830,31,2827342,0.0
831,18,2827342,0.0
832,13,2827342,29.06
833,19,2827342,50.0
834,20,2827342,5.96
835,15,2827342,0.0
836,16,2827342,7.84
837,17,2827342,30.01
838,26,2827342,0.0
839,14,2827342,109.1
840,3,4595413,8.57
841,23,4595413,0.0
842,24,4595413,0.0
843,27,4595413,0.0
844,21,4595413,0.0
845,25,4595413,3.54
846,29,4595413,0.0
847,30,4595413,0.0
848,22,4595413,0.0
849,28,4595413,0.0
850,31,4595413,0.0
851,18,4595413,0.0
852,13,4595413,4.68
853,19,4595413,0.0
854,20,4595413,0.0
855,15,4595413,0.0
856,16,4595413,0.0
857,17,4595413,0.0
858,26,4595413,0.0
859,14,4595413,0.0
860,3,3876791,2999.72
861,23,3876791,905.99
862,24,3876791,25.18
863,27,3876791,65.95
864,21,3876791,5.7
865,25,3876791,0.0
866,29,3876791,5.7
867,30,3876791,12.9
868,22,3876791,29.92
869,28,3876791,2.85
870,31,3876791,0.0
871,18,3876791,0.0
872,13,3876791,39.68
873,19,3876791,0.0
874,20,3876791,81.93
875,15,3876791,163.43
876,16,3876791,41.15
877,17,3876791,14.35
878,26,3876791,0.0
879,14,3876791,31.93
880,3,65305,215.28
881,23,65305,0.0
882,24,65305,0.0
883,27,65305,22.77
884,21,65305,0.0
885,25,65305,0.0
886,29,65305,57.62
887,30,65305,18.13
888,22,65305,0.0
889,28,65305,0.0
890,31,65305,150.0
891,18,65305,0.0
892,13,65305,0.0
893,19,65305,100.0
894,20,65305,168.41
895,15,65305,0.0
896,16,65305,0.0
897,17,65305,44.0
898,26,65305,0.0
899,14,65305,0.0
900,3,3422605,30.0
901,23,3422605,0.0
902,24,3422605,0.0
903,27,3422605,0.0
904,21,3422605,0.0
905,25,3422605,0.0
906,29,3422605,0.0
907,30,3422605,0.0
908,22,3422605,0.0
909,28,3422605,0.0
910,31,3422605,0.0
911,18,3422605,0.0
912,13,3422605,0.0
913,19,3422605,0.0
914,20,3422605,0.0
915,15,3422605,0.0
916,16,3422605,0.0
917,17,3422605,0.0
918,26,3422605,0.0
919,14,3422605,0.0
920,3,2409956,446.0
921,23,2409956,280.0
922,24,2409956,0.0
923,27,2409956,0.0
924,21,2409956,0.0
925,25,2409956,0.0
926,29,2409956,30.0
927,30,2409956,0.0
928,22,2409956,0.0
929,28,2409956,0.0
930,31,2409956,0.0
931,18,2409956,0.0
932,13,2409956,0.0
933,19,2409956,0.0
934,20,2409956,0.0
935,15,2409956,0.0
936,16,2409956,0.0
937,17,2409956,0.0
938,26,2409956,50.0
939,14,2409956,3.0
940,3,213204,496.9
941,23,213204,0.0
942,24,213204,0.0
943,27,213204,0.0
944,21,213204,9.87
945,25,213204,0.0
946,29,213204,0.0
947,30,213204,0.0
948,22,213204,69.33
949,28,213204,0.0
950,31,213204,2600.0
951,18,213204,0.0
952,13,213204,0.0
953,19,213204,0.0
954,20,213204,550.0
955,15,213204,0.0
956,16,213204,0.0
957,17,213204,0.0
958,26,213204,0.0
959,14,213204,0.0
960,3,195861,84.9
961,23,195861,0.0
962,24,195861,0.0
963,27,195861,0.0
964,21,195861,47.93
965,25,195861,15.97
966,29,195861,50.0
967,30,195861,9.33
968,22,195861,150.62
969,28,195861,0.0
